scaleFactor,minNeighbors,f1,precision,recall,fps,avg_time,total_tp,total_fp,total_fn
1.01,1,0.7493333333333332,0.6433333333333333,1.0,14.854965622490926,0.0673175573348999,52,46,0
1.01,2,0.8186666666666667,0.7366666666666667,1.0,14.78007857470323,0.0676586389541626,52,31,0
1.01,3,0.8286666666666666,0.7466666666666667,1.0,14.732824454294496,0.06787564754486083,52,28,0
1.01,4,0.8353333333333332,0.7566666666666667,1.0,14.864324846374126,0.06727517127990723,52,27,0
1.01,5,0.8619999999999999,0.7933333333333333,1.0,14.312138980792959,0.06987075805664063,52,22,0
1.01,6,0.8986666666666667,0.8466666666666666,1.0,14.811411149733502,0.06751551151275635,52,16,0
1.01,8,0.9253333333333333,0.8866666666666666,1.0,14.651306708219241,0.06825329780578614,52,12,0
1.05,1,0.9,0.85,1.0,78.48217419908703,0.01274174690246582,52,15,0
1.05,2,0.96,0.94,1.0,74.68785268933351,0.013389058113098144,52,6,0
1.05,3,0.98,0.97,1.0,75.05869687217253,0.013322906494140625,52,3,0
1.05,4,0.9866666666666666,0.98,1.0,75.59448391309536,0.01322847843170166,52,2,0
1.05,5,1.0,1.0,1.0,78.32447811742068,0.012767400741577149,52,0,0
1.05,6,1.0,1.0,1.0,79.04957409804452,0.012650289535522462,52,0,0
1.05,8,1.0,1.0,1.0,76.40449110719098,0.01308823585510254,52,0,0
1.1,1,0.9266666666666667,0.89,1.0,141.6917047107557,0.007057576179504394,52,11,0
1.1,2,0.9933333333333333,0.99,1.0,137.70535291579964,0.007261881828308106,52,1,0
1.1,3,0.9933333333333333,0.99,1.0,141.12703675564586,0.007085814476013184,52,1,0
1.1,4,1.0,1.0,1.0,147.284735468538,0.006789569854736328,52,0,0
1.1,5,1.0,1.0,1.0,153.8032561096977,0.006501812934875489,52,0,0
1.1,6,0.98,0.98,0.98,150.45945278914533,0.006646308898925781,51,0,1
1.1,8,0.98,0.98,0.98,147.42762018311475,0.006782989501953125,51,0,1
1.2,1,0.98,0.97,1.0,254.08167097778613,0.0039357423782348635,52,3,0
1.2,2,1.0,1.0,1.0,256.4642779837034,0.0038991785049438477,52,0,0
1.2,3,0.98,0.98,0.98,241.33350978440365,0.004143643379211426,51,0,1
1.2,4,0.98,0.98,0.98,254.0668957989322,0.003935971260070801,51,0,1
1.2,5,0.96,0.96,0.96,249.90669396334968,0.004001493453979492,50,0,2
1.2,6,0.94,0.94,0.94,257.01116575589754,0.0038908815383911135,49,0,3
1.2,8,0.94,0.94,0.94,237.74861465069245,0.004206123352050781,49,0,3
1.3,1,0.98,0.97,1.0,367.3632691384668,0.0027221012115478515,52,3,0
1.3,2,0.98,0.98,0.98,352.2476203593438,0.002838912010192871,51,0,1
1.3,3,0.96,0.96,0.96,333.17425164350874,0.003001432418823242,50,0,2
1.3,4,0.94,0.94,0.94,351.7725737922428,0.0028427457809448243,49,0,3
1.3,5,0.86,0.86,0.86,358.34785758712843,0.0027905845642089843,45,0,7
1.3,6,0.86,0.86,0.86,355.44708171470023,0.0028133583068847656,45,0,7
1.3,8,0.86,0.86,0.86,383.65109854929295,0.0026065349578857423,45,0,7
